model,label,n,mean_mm,std_mm,min_mm,q02_5_mm,q05_mm,q16_mm,q25_mm,median_mm,q75_mm,q84_mm,q95_mm,q97_5_mm,max_mm,iqr_mm
senorge,SeNorge / 1 km,40,37.93,10.46,22.97,26.77,27.92,29.37,30.25,35.07,41.81,46.33,58.79,60.57,74.79,11.56
era5_0.25,ERA5 / 0.25°,40,37.39,9.4,27.06,27.37,27.48,28.69,30.17,35.67,42.56,43.98,53.48,58.63,72.09,12.39
era5_0.5,ERA5 / 0.5°,40,37.59,9.52,27.38,27.43,27.57,28.86,30.3,35.74,42.82,44.21,53.95,58.98,73.0,12.52
gfdl_spear_med_le,GFDL-SPEAR / 0.5° x 0.625°,1200,36.7,8.89,18.33,22.98,24.77,28.96,30.56,35.22,41.07,44.59,53.99,58.69,83.36,10.51
cesm2_le,CESM2-LE / 0.94° x 1.25°,4000,33.59,8.31,17.29,22.01,23.17,26.03,27.71,32.04,37.7,41.05,49.5,53.63,84.67,9.98
