model,label,n,mean_mm,std_mm,min_mm,q02_5_mm,q05_mm,q16_mm,q25_mm,median_mm,q75_mm,q84_mm,q95_mm,q97_5_mm,max_mm,iqr_mm
senorge,SeNorge / 1 km,40,32.55,8.0,21.81,22.0,23.92,24.98,26.06,31.96,36.67,39.0,47.25,47.89,59.28,10.61
era5_0.25,ERA5 / 0.25°,40,31.22,6.03,20.17,20.53,22.21,24.7,27.5,31.57,34.85,37.13,41.45,42.14,43.78,7.35
era5_0.5,ERA5 / 0.5°,40,30.76,5.96,19.5,19.95,21.71,24.54,27.08,31.16,34.57,36.48,41.32,41.6,43.59,7.48
gfdl_spear_med_le,GFDL-SPEAR / 0.5° x 0.625°,1200,32.19,8.58,14.45,19.68,20.86,24.11,26.04,30.67,37.01,40.35,48.45,51.76,86.61,10.97
cesm2_le,CESM2-LE / 0.94° x 1.25°,4000,30.23,6.46,16.79,20.87,21.88,24.41,25.78,29.19,33.4,35.9,42.0,45.99,74.42,7.62
