climate_model,target_percentile_%,climate_value_mm,senorge_percentile_%,era5_0.25_percentile_%,era5_0.5_percentile_%
cesm2_le,2.5,26.4,0.0,0.0,0.0
cesm2_le,5.0,27.9,0.0,2.5,2.5
cesm2_le,16.0,31.5,7.5,2.5,2.5
cesm2_le,50.0,38.6,30.0,22.5,27.5
cesm2_le,84.0,49.7,75.0,60.0,60.0
cesm2_le,95.0,60.0,87.5,85.0,85.0
cesm2_le,97.5,66.7,97.5,97.5,97.5
