climate_model,target_percentile_%,climate_value_mm,senorge_percentile_%,era5_0.25_percentile_%,era5_0.5_percentile_%
cesm2_le,2.5,27.3,7.5,7.5,7.5
cesm2_le,5.0,29.0,7.5,10.0,10.0
cesm2_le,16.0,32.3,22.5,25.0,22.5
cesm2_le,50.0,38.8,57.5,47.5,47.5
cesm2_le,84.0,48.1,82.5,77.5,77.5
cesm2_le,95.0,57.1,92.5,92.5,92.5
cesm2_le,97.5,62.8,97.5,95.0,97.5
