model,label,n,mean_mm,std_mm,min_mm,q02_5_mm,q05_mm,q16_mm,q25_mm,median_mm,q75_mm,q84_mm,q95_mm,q97_5_mm,max_mm,iqr_mm
senorge,SeNorge / 1 km,40,26.02,6.94,15.29,17.74,18.56,19.83,21.38,24.55,28.89,33.11,38.45,40.83,47.87,7.51
era5_0.25,ERA5 / 0.25°,40,25.69,6.83,16.76,18.04,18.12,19.3,20.51,23.65,28.5,33.51,38.93,41.12,41.18,7.98
era5_0.5,ERA5 / 0.5°,40,25.81,6.89,16.78,18.16,18.26,19.53,20.63,23.71,28.66,33.83,39.08,41.48,41.73,8.02
gfdl_spear_med_le,GFDL-SPEAR / 0.5° x 0.625°,1200,25.65,6.39,12.86,16.01,17.02,19.82,21.28,24.67,28.8,31.33,37.86,40.48,60.09,7.52
cesm2_le,CESM2-LE / 0.94° x 1.25°,4000,23.38,5.81,11.83,14.97,15.9,18.11,19.18,22.37,26.36,28.66,34.27,37.38,58.92,7.18
