climate_model,target_percentile_%,climate_value_mm,senorge_percentile_%,era5_0.25_percentile_%,era5_0.5_percentile_%
gfdl_spear_med_le,2.5,21.5,5.0,5.0,5.0
gfdl_spear_med_le,5.0,23.2,5.0,7.5,7.5
gfdl_spear_med_le,16.0,26.6,22.5,17.5,17.5
gfdl_spear_med_le,50.0,33.4,55.0,55.0,60.0
gfdl_spear_med_le,84.0,43.7,87.5,85.0,85.0
gfdl_spear_med_le,95.0,51.9,92.5,100.0,100.0
gfdl_spear_med_le,97.5,54.8,95.0,100.0,100.0
