model,label,n,mean_mm,std_mm,min_mm,q02_5_mm,q05_mm,q16_mm,q25_mm,median_mm,q75_mm,q84_mm,q95_mm,q97_5_mm,max_mm,iqr_mm
senorge,SeNorge / 1 km,40,45.8,13.65,31.52,31.6,31.81,36.0,39.35,42.97,49.61,55.59,60.42,71.03,110.48,10.26
era5_0.25,ERA5 / 0.25°,40,45.05,9.93,30.41,32.58,34.4,37.12,38.07,42.55,48.8,52.9,66.46,69.79,71.52,10.73
era5_0.5,ERA5 / 0.5°,40,44.23,9.73,29.32,33.13,33.75,35.44,37.03,41.88,47.89,52.58,65.8,68.7,69.4,10.87
gfdl_spear_med_le,GFDL-SPEAR / 0.5° x 0.625°,1200,44.63,11.49,21.99,27.87,29.92,34.07,36.51,42.61,51.08,55.5,65.76,69.98,137.6,14.58
cesm2_le,CESM2-LE / 0.94° x 1.25°,4000,44.17,9.07,26.05,31.35,32.8,36.24,38.04,42.65,48.41,51.94,60.59,65.98,114.35,10.37
