climate_model,target_percentile_%,climate_value_mm,senorge_percentile_%,era5_0.25_percentile_%,era5_0.5_percentile_%
cesm2_le,2.5,31.4,0.0,2.5,2.5
cesm2_le,5.0,32.8,7.5,5.0,2.5
cesm2_le,16.0,36.2,17.5,15.0,20.0
cesm2_le,50.0,42.7,50.0,50.0,55.0
cesm2_le,84.0,51.9,80.0,82.5,82.5
cesm2_le,95.0,60.6,95.0,90.0,90.0
cesm2_le,97.5,66.0,95.0,92.5,95.0
