climate_model,target_percentile_%,climate_value_mm,senorge_percentile_%,era5_0.25_percentile_%,era5_0.5_percentile_%
gfdl_spear_med_le,2.5,23.8,0.0,2.5,2.5
gfdl_spear_med_le,5.0,25.6,0.0,7.5,7.5
gfdl_spear_med_le,16.0,29.1,7.5,10.0,10.0
gfdl_spear_med_le,50.0,36.6,45.0,42.5,42.5
gfdl_spear_med_le,84.0,47.9,82.5,77.5,75.0
gfdl_spear_med_le,95.0,58.3,95.0,92.5,92.5
gfdl_spear_med_le,97.5,65.4,97.5,97.5,97.5
