model,label,n,mean_mm,std_mm,min_mm,q02_5_mm,q05_mm,q16_mm,q25_mm,median_mm,q75_mm,q84_mm,q95_mm,q97_5_mm,max_mm,iqr_mm
senorge,SeNorge / 1 km,40,34.95,10.7,21.14,21.29,23.79,24.93,28.43,33.17,40.17,42.64,54.36,56.45,76.95,11.74
era5_0.25,ERA5 / 0.25°,40,33.59,7.88,16.4,19.45,22.58,26.7,28.6,32.29,37.33,42.78,46.63,47.58,49.25,8.74
era5_0.5,ERA5 / 0.5°,40,33.48,7.77,16.37,19.36,22.58,26.57,28.64,32.41,36.92,42.67,46.09,47.72,47.97,8.28
gfdl_spear_med_le,GFDL-SPEAR / 0.5° x 0.625°,1200,35.06,8.95,17.85,21.46,23.22,26.64,28.79,33.44,40.16,43.66,51.92,54.84,79.6,11.37
cesm2_le,CESM2-LE / 0.94° x 1.25°,4000,29.47,7.64,14.29,18.44,19.59,22.41,24.08,28.17,33.44,36.55,43.83,47.97,80.53,9.36
