climate_model,target_percentile_%,climate_value_mm,senorge_percentile_%,era5_0.25_percentile_%,era5_0.5_percentile_%
gfdl_spear_med_le,2.5,16.2,0.0,7.5,7.5
gfdl_spear_med_le,5.0,17.3,0.0,10.0,10.0
gfdl_spear_med_le,16.0,20.0,12.5,10.0,10.0
gfdl_spear_med_le,50.0,26.3,42.5,52.5,52.5
gfdl_spear_med_le,84.0,34.8,77.5,77.5,77.5
gfdl_spear_med_le,95.0,42.4,95.0,97.5,97.5
gfdl_spear_med_le,97.5,46.3,97.5,100.0,100.0
