climate_model,target_percentile_%,climate_value_mm,senorge_percentile_%,era5_0.25_percentile_%,era5_0.5_percentile_%
cesm2_le,2.5,18.4,0.0,2.5,2.5
cesm2_le,5.0,19.6,0.0,5.0,5.0
cesm2_le,16.0,22.4,5.0,5.0,5.0
cesm2_le,50.0,28.2,25.0,22.5,22.5
cesm2_le,84.0,36.5,65.0,70.0,70.0
cesm2_le,95.0,43.8,90.0,85.0,85.0
cesm2_le,97.5,48.0,92.5,97.5,100.0
