model,label,n,mean_mm,std_mm,min_mm,q02_5_mm,q05_mm,q16_mm,q25_mm,median_mm,q75_mm,q84_mm,q95_mm,q97_5_mm,max_mm,iqr_mm
senorge,SeNorge / 1 km,40,33.62,9.39,20.8,21.79,22.49,25.91,27.28,31.4,37.87,40.12,45.68,55.56,69.38,10.59
era5_0.25,ERA5 / 0.25°,40,32.59,6.71,17.01,21.08,22.27,26.65,28.58,30.97,37.84,40.8,43.46,43.59,43.89,9.26
era5_0.5,ERA5 / 0.5°,40,32.31,6.64,16.93,20.89,22.26,26.53,28.42,30.79,37.44,40.28,43.02,43.68,43.89,9.02
gfdl_spear_med_le,GFDL-SPEAR / 0.5° x 0.625°,1200,33.88,8.13,16.39,21.72,22.68,26.23,27.99,32.41,38.5,41.97,48.84,52.15,75.32,10.51
cesm2_le,CESM2-LE / 0.94° x 1.25°,4000,28.68,7.1,14.61,18.44,19.62,22.11,23.65,27.53,32.24,35.01,42.17,46.26,75.78,8.59
