model,label,n,mean_mm,std_mm,min_mm,q02_5_mm,q05_mm,q16_mm,q25_mm,median_mm,q75_mm,q84_mm,q95_mm,q97_5_mm,max_mm,iqr_mm
senorge,SeNorge / 1 km,40,48.18,16.77,30.15,30.41,30.99,35.44,38.08,46.11,54.21,56.73,66.04,68.62,130.09,16.14
era5_0.25,ERA5 / 0.25°,40,48.41,12.29,29.68,31.7,33.46,35.69,40.02,46.32,55.45,59.42,67.72,73.14,87.98,15.42
era5_0.5,ERA5 / 0.5°,40,48.28,12.16,29.59,31.86,33.18,35.73,40.18,46.16,55.53,59.37,66.87,71.39,87.38,15.35
gfdl_spear_med_le,GFDL-SPEAR / 0.5° x 0.625°,1200,48.94,12.43,23.69,30.89,32.66,37.21,40.13,46.98,55.13,60.16,72.41,79.57,119.21,15.01
cesm2_le,CESM2-LE / 0.94° x 1.25°,4000,41.58,11.12,20.41,26.3,27.86,31.7,33.97,39.23,46.88,51.35,62.68,69.35,109.4,12.9
