climate_model,target_percentile_%,climate_value_mm,senorge_percentile_%,era5_0.25_percentile_%,era5_0.5_percentile_%
gfdl_spear_med_le,2.5,27.9,0.0,0.0,0.0
gfdl_spear_med_le,5.0,29.9,0.0,0.0,2.5
gfdl_spear_med_le,16.0,34.1,12.5,5.0,7.5
gfdl_spear_med_le,50.0,42.6,47.5,50.0,55.0
gfdl_spear_med_le,84.0,55.5,82.5,87.5,87.5
gfdl_spear_med_le,95.0,65.8,95.0,92.5,95.0
gfdl_spear_med_le,97.5,70.0,95.0,97.5,100.0
