climate_model,target_percentile_%,climate_value_mm,senorge_percentile_%,era5_0.25_percentile_%,era5_0.5_percentile_%
gfdl_spear_med_le,2.5,30.7,5.0,2.5,2.5
gfdl_spear_med_le,5.0,32.6,10.0,2.5,5.0
gfdl_spear_med_le,16.0,36.7,17.5,20.0,20.0
gfdl_spear_med_le,50.0,46.2,57.5,50.0,52.5
gfdl_spear_med_le,84.0,58.0,87.5,82.5,82.5
gfdl_spear_med_le,95.0,68.9,97.5,97.5,97.5
gfdl_spear_med_le,97.5,74.1,97.5,97.5,97.5
