model,label,n,mean_mm,std_mm,min_mm,q02_5_mm,q05_mm,q16_mm,q25_mm,median_mm,q75_mm,q84_mm,q95_mm,q97_5_mm,max_mm,iqr_mm
senorge,SeNorge / 1 km,40,29.17,7.98,18.15,18.22,19.23,21.4,24.22,27.14,32.31,36.73,41.84,44.52,54.35,8.1
era5_0.25,ERA5 / 0.25°,40,27.96,8.22,13.37,15.73,15.99,20.76,21.52,24.79,34.05,38.23,41.9,42.06,43.13,12.52
era5_0.5,ERA5 / 0.5°,40,27.95,8.24,13.41,15.77,16.0,20.8,21.4,24.93,34.12,38.53,41.82,41.95,43.64,12.72
gfdl_spear_med_le,GFDL-SPEAR / 0.5° x 0.625°,1200,27.61,8.02,12.78,16.2,17.29,19.96,21.83,26.3,31.61,34.84,42.41,46.29,71.48,9.78
cesm2_le,CESM2-LE / 0.94° x 1.25°,4000,26.93,6.14,13.01,18.21,19.08,21.32,22.6,25.78,30.04,32.43,38.78,41.84,65.52,7.45
