model,label,n,mean_mm,std_mm,min_mm,q02_5_mm,q05_mm,q16_mm,q25_mm,median_mm,q75_mm,q84_mm,q95_mm,q97_5_mm,max_mm,iqr_mm
senorge,SeNorge / 1 km,40,40.77,13.44,26.73,26.84,27.02,31.24,32.73,37.49,46.13,48.05,57.3,61.43,103.71,13.4
era5_0.25,ERA5 / 0.25°,40,40.69,11.22,22.55,23.97,24.62,31.46,32.29,38.89,46.87,52.47,59.27,63.45,72.54,14.59
era5_0.5,ERA5 / 0.5°,40,40.74,11.18,21.83,23.88,24.17,31.6,32.93,38.94,47.29,52.22,59.1,62.52,71.93,14.36
gfdl_spear_med_le,GFDL-SPEAR / 0.5° x 0.625°,1200,38.72,10.92,19.13,23.78,25.63,29.13,31.31,36.58,44.3,47.95,58.29,65.36,114.4,12.99
cesm2_le,CESM2-LE / 0.94° x 1.25°,4000,40.27,8.88,20.76,27.34,28.99,32.33,34.13,38.82,44.4,48.06,57.13,62.77,97.65,10.26
